epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,5372.29,0.52353,0.24996,0.00606,0.98316,0.91018,0.95692,0.71369,0.76885,0.30113,0.01097,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,5451.12,0.51253,0.24631,0.00599,0.98235,0.92043,0.9586,0.71738,0.76174,0.29268,0.01088,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,5529.69,0.50265,0.24916,0.00585,0.96957,0.92882,0.95888,0.71379,0.76139,0.30135,0.01082,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,5607.68,0.50675,0.25269,0.00581,0.95771,0.92554,0.96052,0.70998,0.78924,0.30815,0.01164,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,5687.72,0.50596,0.24622,0.00579,0.96925,0.92856,0.95735,0.71442,0.77417,0.28766,0.01094,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,5767.3,0.51656,0.25414,0.00583,0.9652,0.93596,0.95769,0.72211,0.77092,0.31419,0.01107,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,5845.58,0.49657,0.23925,0.00576,0.96041,0.9271,0.95392,0.71999,0.78025,0.32572,0.01117,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,5923.19,0.48952,0.24673,0.00556,0.9679,0.94435,0.96714,0.72352,0.77733,0.29895,0.01148,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,6000.68,0.5071,0.24017,0.00568,0.98028,0.9104,0.94946,0.71128,0.77064,0.30348,0.01106,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,6079.97,0.49119,0.2338,0.00556,0.98147,0.93273,0.96422,0.72722,0.7644,0.27299,0.01074,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,6159.29,0.48931,0.23159,0.00552,0.98137,0.93339,0.96981,0.72673,0.78515,0.27478,0.01165,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,6237.76,0.49469,0.24088,0.00552,0.97921,0.93495,0.96135,0.72083,0.79716,0.28515,0.01224,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,6317.45,0.47861,0.22727,0.00555,0.9839,0.92951,0.96362,0.72205,0.77681,0.28473,0.0112,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,6397.69,0.46845,0.2175,0.00538,0.98619,0.92155,0.96427,0.72376,0.76084,0.27294,0.01053,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,6477.28,0.4893,0.22978,0.00537,0.97276,0.93375,0.96838,0.72332,0.76908,0.27892,0.01078,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,6557.33,0.47725,0.21952,0.0052,0.96769,0.93157,0.95876,0.72157,0.76738,0.29136,0.0107,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,6637,0.46749,0.22404,0.00528,0.9671,0.93102,0.9595,0.70569,0.78379,0.30393,0.01114,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,6715.2,0.46869,0.22921,0.00547,0.9757,0.92886,0.96362,0.71095,0.78418,0.30238,0.01127,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,6793.48,0.46586,0.23444,0.00528,0.95839,0.93593,0.96288,0.72,0.77809,0.2945,0.01131,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,6871.43,0.45655,0.22309,0.00508,0.9748,0.93173,0.96053,0.72336,0.7691,0.27751,0.01064,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,6949.12,0.45577,0.23079,0.00528,0.97727,0.92425,0.96709,0.72119,0.7642,0.28245,0.01064,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,7026.69,0.4451,0.218,0.00502,0.97348,0.9431,0.9709,0.72549,0.76042,0.27502,0.01047,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,7104.17,0.4593,0.21954,0.00527,0.96283,0.94219,0.9697,0.7164,0.79343,0.28376,0.01187,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,7181.86,0.45174,0.22416,0.0051,0.97243,0.90275,0.956,0.70995,0.78709,0.32926,0.01159,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,7260.51,0.44981,0.23365,0.00512,0.96531,0.92538,0.95737,0.71085,0.80055,0.32473,0.0122,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,7338.48,0.43829,0.23001,0.00502,0.97334,0.9373,0.96976,0.71867,0.78031,0.2806,0.01144,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,7417,0.43419,0.20862,0.0049,0.9704,0.95325,0.97008,0.72521,0.77431,0.28182,0.01123,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,7496.54,0.43724,0.21205,0.00496,0.97168,0.93135,0.96799,0.72146,0.76652,0.29488,0.01081,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,7576.34,0.43481,0.21896,0.00498,0.97177,0.93018,0.96923,0.71823,0.77637,0.28999,0.01117,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,7655.64,0.42525,0.19975,0.00467,0.9624,0.93527,0.96526,0.72469,0.76356,0.27785,0.01074,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,7734.69,0.41981,0.20472,0.0046,0.95922,0.94767,0.9691,0.72256,0.76572,0.2711,0.01064,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,7813.89,0.41602,0.19958,0.00454,0.95695,0.94533,0.97002,0.72577,0.75736,0.27337,0.01023,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,7893.67,0.41415,0.19969,0.00459,0.97888,0.94494,0.96683,0.72533,0.75623,0.26234,0.01023,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,7972.41,0.40933,0.19459,0.00449,0.97739,0.94372,0.96847,0.72658,0.76411,0.2745,0.01065,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,8050.29,0.41467,0.19296,0.00447,0.97499,0.94272,0.97112,0.7287,0.76293,0.27681,0.01071,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,8128.61,0.41053,0.19267,0.00438,0.97441,0.93871,0.97039,0.72872,0.75486,0.27466,0.01021,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,8208.68,0.40671,0.19287,0.00444,0.97069,0.93721,0.97065,0.72906,0.75287,0.27822,0.01016,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,8287.9,0.40626,0.18963,0.00423,0.97552,0.94125,0.96592,0.72799,0.75049,0.27731,0.01007,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,8366.71,0.40685,0.19406,0.00437,0.9749,0.94307,0.97047,0.7276,0.75603,0.28374,0.01033,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,8446.08,0.39056,0.18686,0.00424,0.96892,0.9426,0.97084,0.72689,0.75055,0.28739,0.01013,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,8525.68,0.39368,0.1825,0.00421,0.97268,0.94103,0.96615,0.72636,0.75207,0.29231,0.01013,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,8605.11,0.37292,0.17363,0.00402,0.98265,0.93417,0.97118,0.72723,0.74863,0.29474,0.00994,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,8684.5,0.38949,0.17769,0.00411,0.97604,0.93342,0.9663,0.72575,0.74401,0.29157,0.00996,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,8763.38,0.38329,0.17825,0.00398,0.96639,0.94701,0.96628,0.7263,0.74836,0.28237,0.01022,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,8842.81,0.38781,0.18421,0.00405,0.98091,0.93136,0.97028,0.72843,0.74561,0.29236,0.01015,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,8922.36,0.37445,0.17934,0.00399,0.98533,0.93542,0.97055,0.72855,0.74864,0.2812,0.01017,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,8999.96,0.3816,0.17843,0.00396,0.98179,0.94222,0.97117,0.72938,0.74979,0.28276,0.01021,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,9078.8,0.36127,0.1733,0.00385,0.98267,0.93506,0.96615,0.72453,0.75536,0.29212,0.01035,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,9158.27,0.35425,0.17072,0.00376,0.97859,0.92903,0.96557,0.72395,0.74823,0.2944,0.01013,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,9238.13,0.36153,0.16727,0.00365,0.9788,0.93712,0.96616,0.72384,0.74607,0.28961,0.01,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,9317.65,0.35485,0.1736,0.00361,0.98415,0.93389,0.96214,0.7241,0.74606,0.29411,0.00997,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,9395.37,0.376,0.18092,0.00385,0.98667,0.93028,0.96247,0.72513,0.7433,0.2904,0.00988,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,9473.35,0.34694,0.16691,0.00358,0.99347,0.93125,0.96685,0.72372,0.74764,0.28751,0.01006,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,9551.48,0.33882,0.16384,0.00347,0.98808,0.93294,0.96489,0.71999,0.74848,0.28738,0.01006,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,9629.8,0.35314,0.16349,0.0036,0.98176,0.93957,0.96612,0.71834,0.75316,0.27877,0.01011,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,9707.94,0.35798,0.16487,0.00372,0.99103,0.93944,0.96621,0.72138,0.75359,0.28218,0.01011,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,9786.05,0.34182,0.1576,0.00351,0.98697,0.93559,0.96193,0.72289,0.74981,0.28263,0.01009,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,9864.71,0.32613,0.15826,0.00342,0.98277,0.94286,0.96241,0.72215,0.74928,0.28114,0.01009,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,9942.31,0.33979,0.15642,0.00335,0.98853,0.93183,0.96264,0.72132,0.75125,0.28899,0.01013,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,10020,0.32849,0.14969,0.00338,0.9923,0.93998,0.96337,0.72016,0.75204,0.28872,0.01011,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,10097.4,0.33031,0.15912,0.00333,0.99344,0.93763,0.96331,0.72001,0.75198,0.28551,0.01011,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,10175.5,0.33111,0.15454,0.00341,0.9901,0.94309,0.9632,0.72293,0.75529,0.28387,0.01021,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,10253.3,0.3308,0.15902,0.00327,0.99011,0.94598,0.96338,0.72203,0.75556,0.28469,0.01026,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,10330.9,0.31925,0.15021,0.00315,0.99242,0.9415,0.96749,0.72177,0.75656,0.28602,0.01025,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,10409.3,0.32341,0.15026,0.00318,0.99355,0.94222,0.9675,0.72279,0.7546,0.28778,0.01021,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,10487,0.32193,0.15221,0.00329,0.98432,0.9376,0.96712,0.72085,0.75798,0.28684,0.0103,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,10564.9,0.31321,0.14789,0.0031,0.97069,0.94684,0.96695,0.7213,0.75777,0.28742,0.01034,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,10642.5,0.32248,0.14514,0.00302,0.98077,0.94154,0.96649,0.72077,0.75869,0.28933,0.01035,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,10720.5,0.31613,0.14727,0.00308,0.98232,0.94052,0.96243,0.71908,0.76043,0.28699,0.01037,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,10798.6,0.31139,0.14609,0.00318,0.98492,0.93725,0.96684,0.71961,0.76043,0.28297,0.01038,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,10877.4,0.31591,0.14732,0.0031,0.9826,0.93732,0.96655,0.71826,0.76258,0.28347,0.01044,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
